1200  4500
 291 1038 3.52415
1177  506 5.50064
1192  812 3.06976
 107 1069 7.48405
   3  867 1.69657
 125  535 5.59671
 572 1149 4.04562
 317  127 0.959762
 203 1036 6.17958
1160  880 9.58127
 376  841 5.74701
 654  416 5.66689
1106  949 5.18204
 314  668 7.37426
 516 1101 5.93379
 205 1067 7.33835
1059  137 8.36787
 121 1143 5.70324
 515  678 7.68791
 920  891 2.33188
1098  246 4.21422
 883  574 7.13064
 822   85 8.45983
 765  875 0.890405
1016  327 8.12093
 377  313 5.35678
 692  211 1.31186
 545  234 1.66729
 254  919 3.62288
 379  149 2.8694
 972  226 8.4089
1198  451 1.79755
 329  858 6.62494
 429  423 1.5942
 852  670 1.00113
 863  852 2.16626
 809 1097 6.71428
1155  971 4.69963
1163   43 4.64065
 333  175 1.58877
 591  721 2.47401
 295  447 0.608575
 844   25 7.04811
1159  245 7.81904
 256  285 8.25976
 230  966 9.09944
1160 1196 4.25643
 407  419 6.58872
 176  744 9.53527
1078 1001 1.05319
 232  951 1.5631
 102  246 9.21044
 115  571 0.521027
 476  583 3.13451
 158  739 8.76893
 683 1139 7.3792
1002 1194 9.66063
 581  471 3.67726
 280  412 6.21503
 565  923 7.69202
 347  926 1.64889
 633  380 5.65666
 447 1149 6.17754
 678  617 5.39581
 392 1107 3.03132
 787  426 2.76302
 385  890 8.19769
 617  516 1.35572
 278  968 8.18361
 375  963 1.54872
 460  496 4.03262
 350  648 8.61087
 228  687 3.61684
 605 1086 5.33907
 410  735 0.992138
 281   56 0.516412
 638 1136 2.00529
 645  553 4.13104
 474  398 1.16612
 161  466 4.25008
 285   31 9.50784
 278  898 2.32861
  73  165 2.78372
 385 1157 7.79615
 875  503 1.72853
 179  747 2.56223
 179  424 5.11919
 660  720 3.9145
 632  283 6.5166
  38  853 4.31966
1129  366 6.04214
 347  558 3.67472
 457  170 9.2431
1124  986 1.41089
 937  832 5.4141
 734  776 1.78016
 128  486 9.58454
 404  569 1.9795
 466  300 3.85387
 205 1067 8.7314
 282  990 6.89862
 529  234 5.33842
 280  384 0.608306
 937  558 8.40491
1177 1176 1.91323
 359  937 1.90283
 472  770 8.08977
 566  655 0.904498
1138   82 0.57866
 609  131 7.80365
 918  910 4.96462
 618  188 3.24381
 853  633 4.59584
 428  444 8.98202
 512  165 3.74998
 941 1057 7.02608
 808 1115 6.98989
1076   41 1.11429
1157  136 5.16805
 973 1185 7.97931
1025 1055 3.40231
 525  641 9.41577
 130   91 6.83865
 217 1047 4.50392
 944 1149 1.02215
  20  799 1.49673
1198  775 2.58406
  47  277 5.11837
 967  113 5.75729
 851  232 9.19954
 938  549 4.60414
1021  285 6.78653
 478  368 9.70038
 269  702 1.74588
 186  566 2.21028
 684  837 5.38365
 158  931 1.16985
 257 1024 0.757482
1180  636 7.31979
 739 1142 3.22315
 442  265 3.46226
 412  941 1.15371
 962  927 2.2512
 902 1118 5.89919
 828  168 3.01998
   4  553 0.92798
  30  106 7.63322
 485   40 1.32817
 521  952 0.953299
 473  728 2.26672
 908  967 1.50246
1150  813 3.32896
1186   16 3.27971
1143  796 2.18791
1064  208 6.08572
 506  445 0.988803
 904  276 3.46784
 111  917 6.14294
1153    6 3.93486
 375  944 7.30945
 103 1079 5.03564
 574  398 5.81954
 263  488 3.11849
 633  333 9.25916
   9  762 8.47265
  51  849 3.76443
 182  802 3.25072
  50  426 0.447625
 440  357 9.01684
 586  838 3.22068
 304  180 2.12495
 964 1008 4.56297
  99  327 5.81052
 411  908 9.70776
 944   67 1.93483
 135  265 4.17977
 920   49 7.30157
 953 1161 5.37312
 217   63 5.41199
 761  996 7.20943
 135  888 6.71437
 814  335 2.74358
 305  274 2.29237
 409  812 1.06137
 247  699 6.91329
  16  945 7.88654
 458  693 2.8755
 138  992 8.15663
 801  425 4.43596
 345  379 8.3199
 835 1190 6.65372
 423 1036 7.82186
 560  634 7.73948
 915  913 0.557334
 313 1000 4.43012
1011  857 2.87238
 529  940 5.86306
 477  626 7.58812
1071  177 7.12487
 194  269 3.35429
 374  644 8.54799
 194  768 5.83839
 226  104 1.83478
 407  771 3.87137
 594  601 6.88735
 783  553 9.03181
 605  250 2.82465
 319    5 6.99545
   8  744 3.58405
 383 1199 7.82657
 193  138 7.9877
 161  426 4.50644
   2  677 5.51533
 363  304 6.07444
 493  286 0.404146
 271  959 7.96738
 454   44 4.70302
 928  611 4.74773
 302 1099 1.76107
 494  857 6.29786
 434  516 4.83805
 500  117 7.19837
  61  370 2.80555
 752  608 9.38945
 598  983 2.72074
 124  307 5.09181
 474  418 6.76532
 179  402 7.21699
 593 1102 3.69111
 339  329 3.48615
 765 1095 2.36389
 569  134 7.26649
1181  862 4.16143
 132 1060 3.02622
 456  656 1.06464
 380  599 2.36305
   3  827 0.980251
 503  686 3.29449
 810  525 4.57282
  28  594 9.16281
 967   61 3.57978
1168  607 3.20356
1019  167 3.55396
1176  385 0.91315
   8  311 6.26625
 441 1147 7.56113
 607  453 7.2745
 836  252 5.58622
 568  690 2.17564
 979  154 5.09206
 476  833 1.21246
1131  944 2.1242
 189  321 8.93315
  43 1040 0.478761
 757  888 0.719164
 485 1134 5.8018
1178  507 1.19507
 121  331 2.87585
 707  941 5.6789
 893 1043 6.48142
 510  225 3.50876
 867   57 9.14694
 463  344 9.49065
 121  326 3.00263
 563  750 9.4354
 696  253 9.14694
 158  861 4.875
 836  241 9.70669
 918  202 6.10129
1176  201 6.63263
 232  518 6.03605
 401  833 5.39931
 885  975 7.83871
  63  434 7.94645
  54  162 9.68041
 412  399 7.85641
1177  368 5.67778
1196  283 0.652252
 348  762 0.382413
 563  286 1.09461
 785  841 8.4816
  62  377 8.04287
 301  231 1.88793
  44  876 6.38111
 223 1007 3.52054
 665  193 1.09647
 969  208 4.00706
 633  453 2.00681
1079  256 0.359118
 831 1118 3.14154
 141  121 6.496
 604  496 5.73839
 211  785 7.33514
 534 1073 9.52046
1184  851 8.45961
 346  753 9.60914
 308  778 9.10355
 326 1199 7.27936
1060  713 8.67059
 899  535 4.34049
 301  629 2.86326
 772  638 0.660561
 527 1090 4.50067
 165  516 3.77285
1039  866 5.12948
 140  998 2.84888
1151  525 9.40748
 663  201 6.92603
 891  904 9.74051
1015  780 9.0212
 354    8 4.138
 473  572 7.74414
 702  426 2.69081
 549 1199 1.68939
  64  172 5.3851
1146  443 2.26764
 227  113 3.16917
1006  843 5.93793
 715 1141 5.07777
 124  512 9.52855
 825  674 8.23684
 161  580 2.543
 550  100 3.11808
 639  578 5.36081
 993  744 3.45912
 870  891 3.54496
 659  697 5.45299
 636  663 3.45072
 426 1048 1.68704
 283   76 4.45667
  53  882 2.55939
 685 1009 6.31698
 576  860 8.91989
 566  765 5.71293
 754  337 3.2943
 706  310 6.98977
1150 1178 8.58061
 984  769 7.56876
 388  825 8.42556
 615  932 6.64895
1124 1051 5.71524
  33  768 8.16947
 886  365 2.03997
 635  995 1.77067
 889  358 6.20986
 325  656 7.34029
 909  484 8.52897
 363  873 5.74223
 338  237 7.59575
 322   86 9.05633
 904  806 4.07804
 944  239 9.01227
 461  445 1.82601
 683 1162 7.35748
  26  615 3.28585
 105  225 4.60264
 107  391 5.96233
 978  394 6.36451
1199  658 5.54392
 155  970 6.05287
 294 1138 9.09496
 728  523 3.9251
 681  892 7.49132
 227 1046 8.44573
 930   34 9.45425
1198  162 4.47436
 851 1156 6.86313
 439    1 6.64954
1124 1001 6.65634
 870   30 3.09705
 156    7 8.21355
1012  150 3.63881
1138  526 1.99485
 250  520 9.53085
 439  117 5.60778
 436  763 7.6148
 667  351 3.86599
1030  695 7.67959
 325  302 7.03716
 382  533 1.92012
 454  611 4.80098
 936  888 9.05408
 603  112 1.63393
 494  708 8.54548
 196  623 6.82604
 537  874 1.56547
 583  682 4.79732
 775  691 5.60259
  12 1190 9.71964
 507  264 5.10564
 432  486 5.84538
 419  800 6.50673
 495  666 1.39635
1068  668 8.88234
 224 1091 1.64328
 943  435 1.34434
1156  552 4.64744
 562  949 4.23459
  10 1161 3.3919
  21  221 7.49769
 851  430 8.97582
1084  806 0.65816
 647 1044 6.59269
 972 1108 6.60836
 244  332 6.90028
1146  402 4.31923
 887  935 1.48827
1181  159 0.600106
1082 1137 1.49867
 989  440 5.90978
1165 1111 6.79388
 133 1033 6.2117
 573  453 3.76436
 929 1104 3.74451
 384 1123 5.9063
  55   76 3.75027
1109  802 0.598248
 883  952 1.43475
 350  102 8.35447
 504  330 9.33436
1192 1027 0.963203
 856  226 7.09235
   7  256 8.64678
 197  577 7.50347
 208 1089 2.64983
 170   69 0.420981
1000  476 9.65676
1174  168 1.85651
 342  390 4.8874
 757  716 8.06891
 557  297 2.26312
 481  789 9.5828
1145  866 7.57178
 989  193 8.84648
 635  590 1.67158
  99  515 6.34324
 112  825 4.88398
 637  444 4.04226
 347  175 5.94765
1068  934 1.26039
 579   31 3.48685
 472  196 4.06699
 784 1070 5.98868
 339 1110 0.7814
 961  170 7.3996
1055  702 5.96274
  13  574 6.798
 118 1144 2.85355
1060  980 0.718564
 869  750 9.03353
 609  523 6.80031
 943   70 6.37058
1073  379 9.20877
 896 1031 2.80224
 961  519 7.66221
 933  984 8.04881
1043  561 4.57383
  31  983 7.06351
 520  946 6.98568
 615  361 0.51247
 644    9 6.18308
1191  436 8.04942
 752  151 6.88821
 393   15 6.32387
 546 1193 4.0089
 899 1190 3.70962
 277  450 9.37003
 399  530 6.58626
 423  937 8.23199
 706  413 4.23732
 439  761 4.68123
  17  875 4.11309
 630  608 7.38
 224  933 7.72865
1179  713 5.48081
 256  494 8.31558
 824  111 2.91781
  24  132 7.11756
 290  772 3.19876
 739  820 4.71284
 559 1021 2.28334
 142  360 9.10553
  46  937 9.7452
 890   40 8.35722
 988  702 2.01015
 179  800 3.00695
 545  388 6.28309
1073  179 7.31955
1105  947 2.81501
 979 1152 2.4325
 906  513 2.29757
1198 1110 0.743027
 332 1142 8.62963
 105  737 1.4702
1032  904 7.10237
 398 1164 6.60536
1105  819 2.89841
 891  900 2.36341
 897  384 7.28036
 690  448 7.70725
 464  903 5.50451
1119  769 6.49746
 235  986 9.4504
   3  964 9.54489
 451  529 0.489345
  70   85 9.15503
1067  440 1.03279
  84  357 8.98198
1007 1060 8.82337
 140 1065 3.88194
 622   12 6.47664
 625 1172 6.5837
  74  861 1.98194
 165 1103 6.01125
   3  278 7.26239
1042  174 9.42263
 234 1035 7.81011
 123  717 8.58944
 156  825 7.00599
1147   53 1.60894
 547 1001 5.72632
 928  746 2.0225
 702  256 8.23436
 112  181 7.30048
 821  749 6.57928
 126 1019 8.9031
1134  295 4.56024
 615  614 5.30797
 478   86 6.14392
  60  924 3.70345
1091  595 6.6209
 666  700 1.10091
 331  526 1.245
 833  248 9.71715
 223 1081 4.37512
 514    0 5.78965
1105  330 8.64044
 688 1029 1.92909
 291 1067 6.61511
1123 1145 3.29929
 337  198 8.94114
 625  486 3.9858
 916  993 7.25353
 686  408 2.61142
 688   57 9.71617
 443  843 8.16435
 751 1037 0.653872
   6  606 9.34945
 785  968 6.47486
  98  410 2.3084
  52 1089 8.84048
 232  138 3.95411
 844 1058 2.52332
 477  342 9.63507
1101   65 1.26441
 399 1119 7.84289
 370 1154 9.20212
 651  505 5.46065
1121    2 3.07656
1165 1004 2.7579
 313  788 4.4549
 741  640 1.53138
1157  925 8.66208
 469  814 8.56908
 792  995 5.77668
1066  399 8.08474
 166  440 2.48247
 532  843 8.32504
 401  219 7.44529
1008  421 4.41936
1172 1150 5.88464
 227  609 9.54321
   2  151 7.38159
 206  361 7.04315
 744 1040 3.32786
 446  873 0.576909
1044  181 5.12347
 292 1170 3.39505
1095  605 7.07697
 868 1118 4.35716
 567  576 8.01675
 384  174 1.98523
 238  438 2.91765
 619  527 3.67239
1017  245 8.70361
  83  206 3.34972
 653  608 9.66464
 181  590 3.71351
 687  772 7.86106
 716  241 4.02794
1102  940 7.21172
 256 1056 1.69257
 954  753 9.0492
 275 1102 7.3926
1114  450 0.675836
 596  333 3.29555
 147  544 1.98558
1176  458 2.15839
 469  113 5.0155
1111  912 2.50302
 533 1131 4.92602
  20  356 7.35159
 273  647 6.30634
 898  489 2.56054
 635  259 1.35815
 499  593 5.42546
 490  578 1.82725
 177  580 9.4903
1016  536 9.16016
 721 1191 6.47609
 268  544 3.71259
 247  150 2.4018
 185  171 2.57046
 831  139 3.23045
 101 1157 6.31401
1023 1086 3.36763
 377  396 0.854517
 507 1015 0.40319
 427  581 4.00286
 776  570 0.549217
1072  389 6.7245
  72  425 6.95488
 779 1145 2.17695
 551  391 4.09255
 329  992 4.87507
1155   79 8.51191
  47  607 2.11223
 620  403 5.98967
 488 1089 6.76533
 897  708 5.11412
 920  662 0.941066
 771  210 5.49526
1015 1035 1.99601
 535  491 9.79628
 883  248 1.66067
 571 1105 2.55262
1111  820 9.17859
 296  657 8.01671
 508  226 2.69827
 266  193 4.70414
 124   55 7.26091
1094  357 7.69763
 794  152 2.30587
 639  854 4.29721
 766 1056 6.38575
 746   95 5.1132
 685  826 6.47039
 139  885 6.69593
 769  235 7.36135
 156  469 6.85058
 281  539 5.4464
1129  992 1.24692
 449 1079 2.5573
 531 1079 7.08515
 283  223 6.7098
 491  562 0.465938
 194  571 3.20774
1151  996 0.928037
 153  697 7.07953
1029  696 4.208
 756  640 0.789311
 881 1119 4.95892
 425 1161 6.78542
 992  519 7.19941
 182  368 2.76404
 308  890 9.30992
 787  282 0.520148
1136 1072 4.03658
 999  150 3.40704
 252 1110 3.93032
 845  480 2.65113
 997 1031 2.72262
1048  424 8.82797
 450  756 0.679292
 221  346 5.32496
 529  769 9.10097
1149  737 5.26609
 779  785 8.11196
 887  284 8.31757
 477  902 4.08201
1041 1152 7.23983
 855  241 4.18275
 729 1091 9.67937
 401  874 6.23979
 515  235 3.1032
 418  801 0.48665
 490   49 7.88529
 421  443 5.26726
1157  144 2.48371
 558  397 1.24066
  94  311 3.63751
 335 1081 7.44016
 951  628 0.362849
 264  508 1.24245
 218  116 2.41682
 665  760 3.50642
 944  680 4.7341
 114  147 4.75236
 250 1105 5.09988
 984  697 8.67174
 708  420 3.19596
 304  987 8.08815
 805  379 0.520143
 575  456 6.31315
 345  868 9.78514
 929  962 6.38954
 906  839 0.306626
  85  985 6.93514
1167  419 6.01297
  92  299 6.86476
 293 1060 4.1467
 539    0 0.679802
 785  304 4.72854
  69  130 6.56546
 263  156 0.489093
 581  499 4.3274
 990   43 7.85812
 235  891 3.811
 468  994 4.70817
 202  862 8.65226
 660 1165 6.1848
 952  908 5.86851
 603  506 8.91324
  66  804 0.710441
 945  347 4.61663
   0 1193 9.04076
  86  486 4.11481
 883  838 2.77655
 389  191 8.32514
 992  544 3.03157
 202 1149 5.01706
 589  391 4.18476
 632 1197 1.85154
1136  438 4.00259
  48  145 1.19672
 850 1127 2.38403
 380  362 3.46573
 875  280 3.90548
1054  319 5.61124
 625    8 2.14747
 126  726 7.83922
 712  482 4.98912
  28  466 5.38138
 735  958 7.31736
 534  973 7.96564
 304 1063 7.85261
 752  960 9.2721
 999  782 4.79421
 731  845 0.78499
 722  157 7.12301
1104  993 2.84393
  86  568 7.082
 793  345 5.79651
 192  988 2.84439
 367  723 4.94492
 615 1136 7.07845
 345  471 7.3414
 960  360 1.18855
 668  164 2.10972
 188  773 5.37921
 493  945 7.02022
 288  737 8.71235
  39 1104 8.61605
 228 1103 3.67178
 208 1112 8.19226
 216  791 9.24609
 255  763 3.23156
 764  168 9.06188
 500  544 2.04855
 413  546 5.95539
 852 1006 6.49876
 141  712 8.25818
 317  512 7.11925
 458  801 1.22105
 540  147 7.88611
 668  712 8.77417
 136   72 2.86706
1149  478 0.396074
 644  328 9.18873
 558  272 5.31714
 655 1014 9.21607
 578  693 6.62583
 966 1038 6.11887
 762  848 0.371122
 962  881 3.18668
 460 1077 1.83129
   7 1187 5.9729
 718  294 3.47505
 572  374 4.15355
 409  695 3.47725
  21  838 3.00573
  43  432 3.8536
 658   83 8.68965
 473  394 9.75575
 302  101 8.88419
1066  340 7.03967
1188 1195 8.27737
 773  234 3.17423
 358  484 7.81664
 537  920 8.30458
 321 1092 2.17965
 807  669 8.64524
1176  999 5.94411
 322  560 4.62304
 850  885 2.65971
 224  928 3.03276
 691  760 3.01285
 239  628 8.24998
 804 1030 6.09503
 491  225 2.61981
 433  532 1.71441
 226  529 1.54275
 772  931 2.91523
 822  680 2.83313
 986  625 0.883825
 521 1035 5.52989
1132  698 4.33971
 449  399 1.00397
 941  563 6.95953
 415 1041 5.65689
1059  296 7.83693
 386   29 4.97771
1186   40 2.62707
 638  588 2.71763
 412  404 1.62912
 852  879 0.533563
1100  934 8.75297
 365  268 0.891502
 550  196 1.47268
 899  126 1.68296
1021  611 8.02703
 331  232 4.08027
  65 1139 5.66005
 833  743 4.79194
 950  187 3.25291
 652  628 9.22248
 344  422 4.85156
 851  412 7.25972
 449 1040 6.50734
 317  629 8.96148
 800 1174 8.24552
 902  967 5.08096
 460   12 4.73119
 955  478 8.75615
1071  477 5.07109
 532  498 9.14571
 646  766 8.71311
 593  790 1.10337
1192  147 6.61989
  21   43 4.98528
1022 1096 2.44849
 201  120 3.96909
1175 1081 3.71684
 155  406 7.17823
 567  919 4.14583
1171  385 9.68659
 598 1104 1.67402
 681  949 7.86329
1029  745 7.98809
 702 1179 9.79155
 232  901 5.1753
 385  817 3.52736
 423  497 1.04993
 804  343 8.33849
1055  588 9.47717
 575 1045 3.98106
 606  785 2.30603
 924  604 2.92135
 345  950 4.38332
 305  976 5.48001
 181  333 9.57301
1066  959 8.75723
1047  730 1.66947
1168  412 8.60415
 619  888 7.41829
  46 1084 2.49818
 827  486 5.71573
 298 1072 7.04221
 156   58 8.40453
 112   28 8.3187
 851  142 2.78647
 479  680 2.09373
 586  577 6.35826
1188  500 3.27706
 488  494 4.12286
 125  770 9.3848
1110  571 4.83194
1035 1044 9.29846
 761  821 1.44275
 960  257 9.45829
1048  866 0.430207
 241    1 8.6669
 103  383 4.00114
 845  526 5.07273
 713  449 6.46193
 722   57 9.66707
   2  841 6.54502
 482  812 4.42867
 650 1021 4.77045
 632 1057 9.31734
 298  333 3.66941
 951  365 0.684181
  95  514 7.66258
 378  255 7.3718
 786  538 5.49881
 709 1180 6.08316
  86  862 8.51016
1047 1164 4.79062
 694  345 0.735971
 676  630 5.03983
  38  897 4.88713
 700  395 8.48861
 431 1192 8.65367
 615  374 2.60093
  89   99 8.20787
  32  659 4.61647
 755  985 5.83115
 158  802 0.517568
  88 1080 9.21301
 853  552 4.42327
1179  492 1.82711
 809  746 1.8254
 133  928 4.39829
1007  389 4.44986
  46  343 6.06224
 346  428 0.697439
1100    7 0.373104
 625  379 3.89692
 351  597 6.87715
 498  913 1.28689
 292 1021 0.598371
 577   10 1.00548
 129  311 3.20401
  92  740 1.42908
 690  423 9.59672
1183 1071 6.74777
 107  283 1.20142
 325  674 2.3477
 401  657 7.10008
1133   23 2.36157
 134  895 8.33065
 105  579 2.66212
1039  532 8.65146
 707  726 2.12455
 668   38 2.11839
 359  272 4.66719
1153  923 6.28501
 116  884 8.47705
 880  328 8.08094
 417  709 5.40704
 458  247 2.35667
 568  760 9.65888
 294  609 2.35862
 153  714 1.0764
 177  665 0.60796
 334 1086 4.23329
1083  453 4.28477
 988  791 3.44104
 765  271 3.08642
 655  630 0.648262
1192  365 4.74163
 730  658 6.3906
 685  107 6.37397
   6  985 0.901798
 902  669 5.96688
 340  479 3.36003
 696  189 3.44066
 972  178 0.397183
  42  802 7.35907
 387  342 7.94869
 708  962 2.45639
 165  268 7.8023
 611  454 5.07715
 769  179 8.94699
1105  183 1.04811
 207 1129 2.76322
 284  985 6.08145
1180 1152 7.3686
 664  246 5.52114
1093  136 3.51581
1067   39 0.415182
 504  133 1.03216
  67  560 1.33582
 416  823 2.00918
1012  168 1.49107
 524 1109 9.00587
 655  571 7.66919
 943  148 3.9761
 992  247 8.40246
 690  793 3.99646
 974  615 6.48503
 932 1147 1.17478
 350  922 3.21418
 307 1027 0.73902
 209  392 7.38865
 946  420 3.31794
 526  454 3.69272
 447  779 3.58383
 824  142 1.74403
 841  654 9.33502
 217  853 9.69032
1127  507 5.58588
 678 1019 6.93657
 786 1155 2.36498
   6  904 6.83189
 898   60 2.97653
 532   32 9.03547
 464  678 8.5674
 108  437 3.1175
 685  113 3.91976
 263  195 8.76213
 408  946 1.0307
 365  400 7.00078
  46  595 0.627344
 562 1060 7.34034
1169  310 3.59855
 345  646 6.16211
 608 1009 2.97379
 244 1029 0.963122
1175  981 5.17528
 874 1041 6.88116
 845  266 7.83683
 776  757 2.10717
  39  600 9.15784
1037  478 0.374848
 789  574 6.94725
 983 1147 9.70545
  45   82 0.565545
 547 1016 8.69535
1061   89 4.02251
 435 1153 1.94214
1140  696 1.6087
 840  674 7.93791
 307  496 9.00111
 469  280 2.8723
 582  316 2.93296
  42  734 6.97639
 465  793 7.09551
 851  362 1.85982
 545  943 1.07552
 518  662 2.68372
 531  283 2.30275
1144   83 5.70059
1152 1137 5.26971
 646  110 8.83197
 413  587 9.61701
 835  666 2.0667
 638  248 2.57543
 229 1121 7.28598
1136  566 8.43866
1076   63 0.820593
1146  536 9.55155
  10  843 3.58424
 586   89 7.51137
 128  299 7.57607
 640  563 6.37914
 396  851 3.06491
 789  161 3.40017
 424  797 6.17202
 521  367 5.67018
 323  398 7.79584
  28 1199 0.752322
 452   56 4.01053
 443   73 2.71149
 548  829 5.11633
 409  125 8.72126
 194  787 4.03448
 996 1002 5.52925
1036  143 3.6836
 423  778 3.44149
 415  913 3.41518
 337  511 4.24698
 727  594 9.14295
 370  272 2.87464
 241  260 3.97505
1009  665 8.8002
 149  535 1.87235
 921  405 7.83257
1033  456 0.890865
1173 1114 6.40378
 746  965 8.47736
 565  873 5.63594
 249  115 3.55464
 783  169 4.89253
 982  365 4.69141
 402  492 2.66798
 185  672 5.73661
 167  493 4.42132
 689 1189 8.10948
 691  729 7.52769
 826  793 8.84193
 118  633 5.93506
 570 1071 2.14209
 912  612 9.7459
 602  319 4.03033
 387   43 6.57392
 358  528 1.94358
 889  546 9.06947
 806  567 7.13936
1043  777 7.4867
 572  353 8.1803
 831  620 9.13302
 255  708 8.13381
1025 1121 9.25055
 961  229 1.81269
 141  379 0.828762
1008  332 8.3842
 223  922 4.44306
 135  132 5.03215
 278  946 5.76523
 245  507 5.73457
 468  858 8.09294
 212  834 8.21142
 356 1089 2.69954
  86  850 9.77697
 457  889 2.66461
 709  159 5.26243
 743   40 2.05245
 239 1124 4.10801
 551  359 1.82008
 600   70 4.49887
 213  877 8.77325
 661   92 8.46313
 863  145 8.92727
 969 1020 2.108
 507  624 4.928
 311  947 8.06005
 531 1097 9.3983
 438 1133 0.78977
 765  949 4.73723
 105  636 7.44818
 129  994 9.69995
  12  509 7.93068
 137 1171 9.09159
 977  706 6.22778
 880  284 1.61346
 962   28 2.09937
1178  666 5.36097
 861  584 7.08351
 357  159 5.10698
 907    7 5.40801
1127  463 1.36086
1124  699 3.39882
 180  681 7.39956
 422  514 0.941846
 245  634 1.60272
 211  764 7.6939
 524  705 1.86725
 176  520 4.42561
 516 1144 7.59056
 621  366 2.93166
   8  441 2.78759
 502 1087 0.553025
1069  927 6.67384
 115 1080 8.16308
 665  433 5.5028
 488   91 3.90437
  71  516 5.32969
 745  524 9.64651
 585  556 4.79218
 737  830 2.03866
 422   97 8.96978
 991  971 8.36491
1192 1141 6.13517
 802 1177 7.26023
 168 1088 0.87681
 953  780 5.92923
 432  967 5.16993
  89  612 4.84289
 390  576 3.88348
 748  137 7.78331
 552 1036 8.13947
 624  597 8.76968
 157  123 4.77333
 607  471 6.24891
 615 1053 5.47284
 514  298 6.62128
 769  145 1.80876
 181  448 3.99144
 729  197 7.93711
 986  443 9.595
   8  576 6.84867
 301  404 1.82693
 867  446 0.351651
 763  695 1.29566
 227   28 8.14355
 794  437 8.09515
 605  337 0.380818
 627  265 8.47281
 720 1073 7.26775
 315 1123 4.57038
 789  137 2.77486
 227  637 7.35182
1115  880 8.22004
 911  444 1.65391
 158  178 4.14772
 118 1036 7.78432
 406  546 0.355909
 446  845 2.01987
  22  429 7.91904
 273 1179 2.7954
  33 1100 3.30644
 606  598 2.55924
 208  519 2.04775
 820  870 4.36745
 139 1018 5.23358
1047  373 3.0615
 398  244 7.83432
1059  223 3.92724
 142  442 1.73559
  33  357 3.16921
 194   83 8.56441
 453  509 2.58083
 148  873 3.85176
 162 1143 0.301486
 838  523 7.37804
  17  893 3.84924
1002  838 9.26618
 208 1150 6.50618
 562  280 9.16393
 429  858 4.48001
1168  341 8.91507
 697  705 5.08655
